iter	MultiClass
0	1.528401417
1	1.279780661
2	1.099970519
3	0.9682601368
4	0.8603586317
5	0.7735064406
6	0.6984183427
7	0.6304220381
8	0.5746004518
9	0.5254334142
10	0.4821994323
11	0.4455570328
12	0.4092998446
13	0.3797483879
14	0.3528868522
15	0.3263173368
16	0.3031461538
17	0.2817856937
18	0.2651635468
19	0.2471682926
20	0.231252457
21	0.2171804621
22	0.2041803502
23	0.1916418006
24	0.1811745399
25	0.1717192879
26	0.1615179142
27	0.1528984534
28	0.1447749215
29	0.1375897176
30	0.130502472
31	0.1248851763
32	0.1196629206
33	0.1146511673
34	0.110193269
35	0.1060158573
36	0.1021117961
37	0.09771439627
38	0.09371410011
39	0.09045874125
40	0.08760954245
41	0.08504643629
42	0.08346739533
43	0.08057779649
44	0.07868045976
45	0.07661877219
46	0.07408006565
47	0.07256538074
48	0.07104321568
49	0.0701633744
50	0.06881425322
51	0.06730332222
52	0.06657068644
53	0.06540522866
54	0.06448207352
55	0.0629526898
56	0.06177645409
57	0.06082340786
58	0.05962316637
59	0.0583311388
60	0.05733062597
61	0.05691009983
62	0.05608713767
63	0.05479263713
64	0.05400079907
65	0.05272465541
66	0.05193280781
67	0.05146104561
68	0.05049930469
69	0.05021176529
70	0.04900278352
71	0.04839467884
72	0.04803848807
73	0.04764985168
74	0.04704702105
75	0.04672207381
76	0.0458605145
77	0.04534593788
78	0.04480075654
79	0.04435912181
80	0.04392185366
81	0.04332109319
82	0.04300856475
83	0.04253287992
84	0.04228660167
85	0.04190514214
86	0.0416583182
87	0.04136082694
88	0.04106950932
89	0.04067356607
90	0.0402792397
91	0.03975934171
92	0.03941563062
93	0.03914515471
94	0.03866999952
95	0.03843976264
96	0.03816586719
97	0.03773976982
98	0.03740035378
99	0.03725470053
100	0.03694371997
101	0.03673226941
102	0.03644485472
103	0.03616159081
104	0.03580589471
105	0.03538165126
106	0.03516598821
107	0.03482600326
108	0.03453061415
109	0.033899632
110	0.03370580053
111	0.03348437862
112	0.03323627363
113	0.03266307472
114	0.03224527188
115	0.03186252161
116	0.03174399243
117	0.03118248358
118	0.03095234592
119	0.03078336561
120	0.03059840827
121	0.03005868221
122	0.02964173971
123	0.02957250852
124	0.02940832243
125	0.02929463556
126	0.02915193878
127	0.02892001173
128	0.02861398446
129	0.0283261511
130	0.02813135496
131	0.0279060239
132	0.0277278619
133	0.02758666471
134	0.02726715842
135	0.02713376302
136	0.0269488796
137	0.02680125695
138	0.02668711851
139	0.0263301942
140	0.02614851691
141	0.0260061253
142	0.0258421932
143	0.02576056163
144	0.025641275
145	0.02538577236
146	0.02515894393
147	0.02505011258
148	0.02496721986
149	0.02484308949
150	0.02467346231
151	0.02446925216
152	0.0243474229
153	0.02418044569
154	0.0239565926
155	0.02367008078
156	0.02348708256
157	0.02339651929
158	0.02327709429
159	0.0231135557
160	0.02302509202
161	0.02291651142
162	0.02281794638
163	0.02271605945
164	0.02261420828
165	0.0224541321
166	0.02226187198
167	0.02209609582
168	0.02197077237
169	0.02179831524
170	0.02169934746
171	0.02160208949
172	0.02150304494
173	0.02137758627
174	0.02131452722
175	0.02094863966
176	0.02087971244
177	0.02084188075
178	0.02076928493
179	0.02070330788
180	0.02054721523
181	0.02044665726
182	0.02038667854
183	0.02022211101
184	0.02007080894
185	0.02003437276
186	0.02000054388
187	0.01989355753
188	0.0197878395
189	0.01975078067
190	0.01966546933
191	0.01958353399
192	0.01950527743
193	0.01940558797
194	0.01937503893
195	0.01931226476
196	0.0192130031
197	0.01916379523
198	0.01907998455
199	0.01901163445
200	0.01881015234
201	0.01874448691
202	0.01860384209
203	0.018465705
204	0.01835454659
205	0.01827687461
