iter	Passed	Remaining
0	175	175131
1	227	113351
2	279	93040
3	334	83313
4	382	76172
5	435	72210
6	505	71681
7	583	72412
8	649	71523
9	713	70607
10	786	70678
11	874	71988
12	959	72870
13	1052	74108
14	1135	74592
15	1218	74919
16	1289	74535
17	1373	74947
18	1463	75546
19	1555	76200
20	1635	76252
21	1700	75612
22	1789	75994
23	1865	75868
24	1932	75368
25	2005	75123
26	2078	74896
27	2139	74254
28	2203	73769
29	2270	73400
30	2331	72865
31	2391	72341
32	2460	72092
33	2520	71600
34	2587	71331
35	2651	70995
36	2718	70755
37	2798	70843
38	2858	70437
39	2935	70452
40	2999	70164
41	3066	69949
42	3140	69905
43	3202	69589
44	3286	69749
45	3358	69655
46	3429	69531
47	3510	69621
48	3586	69603
49	3643	69234
50	3720	69225
51	3808	69425
52	3882	69368
53	3962	69420
54	4032	69279
55	4101	69144
56	4174	69060
57	4261	69218
58	4328	69037
59	4400	68944
60	4465	68736
61	4530	68540
62	4604	68484
63	4688	68562
64	4779	68757
65	4862	68818
66	4938	68771
67	5025	68872
68	5110	68955
69	5183	68868
70	5273	68999
71	5357	69049
72	5432	68986
73	5507	68913
74	5588	68919
75	5668	68917
76	5755	68992
77	5838	69015
78	5917	68983
79	5994	68939
80	6080	68992
81	6165	69020
82	6250	69053
83	6338	69124
84	6409	68995
85	6483	68905
86	6571	68962
87	6650	68928
88	6725	68837
89	6806	68825
90	6874	68670
91	6951	68608
92	7038	68640
93	7115	68583
94	7217	68759
95	7305	68792
96	7419	69069
97	7514	69164
98	7610	69261
99	7696	69265
100	7771	69174
101	7873	69318
102	8002	69692
103	8093	69725
104	8185	69770
105	8269	69741
106	8349	69679
107	8425	69585
108	8511	69578
109	8610	69669
110	8712	69780
111	8808	69840
112	8883	69732
113	8960	69640
114	9057	69703
115	9150	69736
116	9227	69638
117	9296	69487
118	9370	69371
119	9453	69326
120	9522	69174
121	9592	69034
122	9663	68902
123	9727	68719
124	9789	68529
125	9858	68382
126	9924	68223
127	9988	68044
128	10047	67839
129	10110	67659
130	10177	67515
131	10247	67386
132	10312	67224
133	10383	67104
134	10450	66958
135	10515	66802
136	10581	66653
137	10658	66579
138	10735	66496
139	10803	66363
140	10867	66204
141	10933	66064
142	10998	65911
143	11069	65800
144	11168	65855
145	11250	65807
146	11340	65807
147	11432	65813
148	11540	65911
